ParticipantID,VOICE_NUMBER,VOICE_TYPE,HEALTH,DOMINANCE
23,12,2,4.5,5
23,13,2,4.75,4.5
23,14,2,6.25,3.5
23,15,2,4.5,5
23,16,2,4.5,5
23,17,2,5.25,3
23,18,2,5,5
23,19,2,5,5.5
23,20,1,5.25,.166666666666667
25,1,1,6.75,5.5
25,2,1,7.75,6.5
25,3,1,7.25,4
25,4,1,6,5
25,5,1,5.25,3.5
25,6,1,5.25,3.5
25,7,1,3.5,5
25,8,1,5.25,4
25,9,1,6.5,7.5
25,10,2,6,.285714285714286
25,11,2,7.25,6.5
25,12,2,4.5,2.5
25,13,2,4.25,5
25,14,2,7.5,7.5
25,15,2,2.75,2
25,16,2,2.75,2
25,17,2,4,3.5
25,18,2,7.5,4.5
25,19,2,3.25,3.5
25,20,1,4.5,.261904761904762
26,1,1,4,6.5
26,2,1,3,7
26,3,1,4.25,7
26,4,1,3.75,7
26,5,1,4,7
26,6,1,4,7
26,7,1,3.25,7.5
26,8,1,4.25,7
26,9,1,4.5,6.5
26,10,2,4.5,.357142857142857
26,11,2,3.75,7
26,12,2,3.75,5.5
26,13,2,3.75,6
26,14,2,4.25,6.5
26,15,2,4.5,7.5
26,16,2,4.5,7.5
26,17,2,4,6.5
26,18,2,3.5,6
26,19,2,3.75,7.5
26,20,1,4.5,.30952380952381
27,1,1,4.75,6
27,2,1,5.25,7
27,3,1,5.25,5.5
27,4,1,5.5,6
27,5,1,5.5, 
27,6,1,5.5, 
27,7,1,5,6.5
27,8,1,5.75,6
27,9,1,5,6.5
27,10,2,4.5,.30952380952381
27,11,2,6,6.5
27,12,2,6,6
27,13,2,5.75,6
27,14,2,5.75,6
27,15,2,5,6
27,16,2,5,6
27,17,2,4.75,6.5
27,18,2,5,7
27,19,2,6,6
27,20,1,5.75,.30952380952381
29,1,1,5.75,5.5
29,2,1,6.75,6
29,3,1,6.5,6
29,4,1,6.25,5
29,5,1,6.5,6
29,6,1,6.5,6
29,7,1,6.75,5.5
29,8,1,6,4.5
29,9,1,5.75,4.5
29,10,2,6.5,.238095238095238
29,11,2,6.25,5.5
29,12,2,6.25,4
29,13,2,5.5,5
29,14,2,6.5,5
29,15,2,5.25,4
29,16,2,5.25,4
29,17,2,5.75,4.5
29,18,2,6,4.5
29,19,2,6.5,6
29,20,1,6.25,.19047619047619
31,1,1,8,4.5
31,2,1,8,3.5
31,3,1,5.75,5
31,4,1,7.5,3.5
31,5,1,2.5,8
31,6,1,2.5,8
31,7,1,1.25,9
31,8,1,2.75,8.5
31,9,1,4.75,9
