ParticipantID,VOICE_NUMBER,VOICE_TYPE,HEALTH,ATTRACTIVENESS
89,20,1,7.75,.380952380952381
92,1,1,4.5,2
92,2,1,9,8
92,3,1,7.25,8.5
92,4,1,7.5,8.5
92,5,1,8,9
92,6,1,8,9
92,7,1,3.75,2
92,8,1,4.5,2
92,9,1,4.75,5.5
92,10,2,4,.30952380952381
92,11,2,6.75,8.5
92,12,2,4.25,1
92,13,2,7.5,9
92,14,2,5,8
92,15,2,3.25,1.5
92,16,2,3.25,1.5
92,17,2,6.25,4.5
92,18,2,4.75,5.5
92,19,2,1.75,3.5
92,20,1,2.25,.166666666666667
6,1,1,4.75,4
6,2,1,4.5,2.5
6,3,1,3.75,2
6,4,1,4.75,4.5
6,5,1,7.5,4
6,6,1,7.5,4
6,7,1,7.75,4.5
6,8,1,7.5,5.5
6,9,1,7.5,7.5
6,10,2,7.5,.333333333333333
6,11,2,4.75,5
6,12,2,4,2.5
6,13,2,3.75,3
6,14,2,5.25,7
6,15,2,2.5,2.5
6,16,2,2.5,2.5
6,17,2,3.75,4
6,18,2,6.25,5
6,19,2,4.25,4.5
6,20,1,6.5,.285714285714286
24,1,1,6.5,2.5
24,2,1,2.25,1.5
24,3,1,3.5,4
24,4,1,6.75,7
24,5,1,5.5,6.5
24,6,1,5.5,6.5
24,7,1,3.75,3.5
24,8,1,6.5,7.5
24,9,1,6.75,7.5
24,10,2,6.5,.428571428571429
24,11,2,5.25,6.5
24,12,2,2.75,1.5
24,13,2,7.5,6
24,14,2,4.25,3
24,15,2,5.75,2
24,16,2,5.75,2
24,17,2,6.75,4.5
24,18,2,5.75,6
24,19,2,6.5,5
24,20,1,6,.285714285714286
38,1,1,6,2.5
38,2,1,6.25,1.5
38,3,1,5,8
38,4,1,8.5,9
38,5,1,8.5,8.5
38,6,1,8.5,8.5
38,7,1,2.25,2
38,8,1,3,3.5
38,9,1,3.5,4.5
38,10,2,1.5,.142857142857143
38,11,2,3,3.5
38,12,2,2.25,6
38,13,2,6,7.5
38,14,2,5,7
38,15,2,3.5,1.5
38,16,2,3.5,1.5
38,17,2,2.25,6
38,18,2,1.75,1.5
38,19,2,3,4.5
38,20,1,2.25,.166666666666667
69,1,1,6.25,4
69,2,1,6.25,6.5
69,3,1,7.75,7
69,4,1,8,7
69,5,1,7,7
69,6,1,7,7
69,7,1,3.5,2.5
69,8,1,3.75,4.5
69,9,1,4.75,3
69,10,2,2.5,.214285714285714
69,11,2,4,4.5
69,12,2,3.25,1.5
69,13,2,5.75,5
69,14,2,5.75,4.5
69,15,2,1.75,1
69,16,2,1.75,1
69,17,2,2,1
69,18,2,5.5,3.5
69,19,2,4,3
69,20,1,4.5,.119047619047619
91,1,1,7.5,5.5
91,2,1,8.25,6
91,3,1,7.75,4.5
91,4,1,6.25,3
91,5,1,9,6
91,6,1,9,6
91,7,1,7,7
91,8,1,4.5,3
91,9,1,4.25,2.5
91,10,2,4.5,.0952380952380952
91,11,2,4.75,4.5
91,12,2,3.5,3
91,13,2,7.5,4.5
91,14,2,7,5.5
91,15,2,3.5,2
91,16,2,3.5,2
91,17,2,4.75,7
91,18,2,4,4
91,19,2,4.25,2
91,20,1,3.5,.166666666666667
99,1,1,6,3.5
99,2,1,3.25,1
99,3,1,5.25,1
99,4,1,7.75,2
99,5,1,7.75,4
99,6,1,7.75,4
99,7,1,7.5,5.5
99,8,1,7.25,1.5
99,9,1,8,7
99,10,2,7.5,.19047619047619
99,11,2,5.25,1
99,12,2,4.75,1
99,13,2,5.75,1
99,14,2,6.25,3.5
99,15,2,2.75,1
99,16,2,2.75,1
99,17,2,5,1
99,18,2,4,2
99,19,2,4.75,4.5
99,20,1,7.5,.214285714285714
108,1,1,6.25,3
108,2,1,8,1
108,3,1,7.75,3
108,4,1,8.75,5.5
108,5,1,8.5,6.5
108,6,1,8.5,6.5
108,7,1,7.25,3
108,8,1,5.25,7.5
108,9,1,6.75,2
108,10,2,7,.261904761904762
108,11,2,6,3.5
108,12,2,4,5.5
108,13,2,6.5,8
108,14,2,7.5,5
108,15,2,5.5,2.5
108,16,2,5.5,2.5
108,17,2,5.75,5
108,18,2,4.5,1
108,19,2,3,6
108,20,1,4.25,.166666666666667
4,1,1,5.5,4
4,2,1,4.5,5
4,3,1,4.75,5.5
4,4,1,5.5,6
4,5,1,4.5,5.5
4,6,1,4.5,5.5
4,7,1,5,6
4,8,1,4.75,6
4,9,1,5.25,5.5
